"Id";"Filename";"LineNumber";"Player";"Transcription";"Classification"
"132";"cr1-27-transcript-corpus.csv";"2509";"MARISHA";"Try it out, since I've learned and I've been studying and I've been doing my research.";"1"
"133";"cr1-57-transcript-corpus.csv";"3703";"MARISHA";"So these heart-stones embrace the essence of where they reside?";"1"
"134";"cr1-101-transcript-corpus.csv";"2204";"SAM";"It's been an honor to have your acquaintance, and I'm afraid I have to return, but perhaps we'll meet again sometime.";"1"
"135";"cr1-70-transcript-corpus.csv";"2073";"TALIESIN";"He spent some time around them, which is also why I thought it might be helpful.";"1"
"136";"cr1-57-transcript-corpus.csv";"2479";"TALIESIN";"I'm going to take a vial of the blood in the pool.";"1"
"137";"cr1-71-transcript-corpus.csv";"303";"LAURA";"What if you became a fly or something and flew down?";"1"
"138";"cr1-49-transcript-corpus.csv";"4062";"MARISHA";"22.";"0"
"139";"cr1-97-transcript-corpus.csv";"3968";"LAURA";"Hey!";"1"
"140";"cr1-57-transcript-corpus.csv";"4041";"TALIESIN";"Tell anyone you'd like where I went.";"1"
"141";"cr1-28-transcript-corpus.csv";"3567";"LIAM";"I throw five or six pine cones at his head.";"1"
"142";"cr1-115.06-transcript-corpus.csv";"3618";"MARISHA";"De Rolo Roller.";"1"
"143";"cr1-41-transcript-corpus.csv";"807";"TALIESIN";"How do you do that?";"0"
"144";"cr1-115-transcript-corpus.csv";"37";"LIAM";"It was great!";"0"
"145";"cr1-74-transcript-corpus.csv";"1403";"LAURA";"They can transfer back when they want to.";"1"
"146";"cr1-26-transcript-corpus.csv";"175";"TRAVIS";"Do I feel a little tingle from my belt?";"1"
"147";"cr1-74-transcript-corpus.csv";"3549";"LIAM";"If this goes south, we can just wrap it up.";"1"
"148";"cr1-61-transcript-corpus.csv";"56";"SAM";"So go check it out, keep that song in the back of your mind when you do.";"0"
"149";"cr1-95-transcript-corpus.csv";"4420";"TALIESIN";"The offer does stand, though.";"1"
"150";"cr1-33.01-transcript-corpus.csv";"638";"LAURA";"Giving him a loaded gun?";"1"
"151";"cr1-6-transcript-corpus.csv";"3671";"LIAM";"Get.";"0"
"152";"cr1-73-transcript-corpus.csv";"1621";"MARISHA";"Deal.";"1"
"153";"cr1-93.01-transcript-corpus.csv";"400";"LIAM";"Miles of candy.";"1"
"154";"cr1-5-transcript-corpus.csv";"1444";"ORION";"Recess the wall, recess the wall!";"1"
"155";"cr1-54.01-transcript-corpus.csv";"2138";"MARISHA";"This is a lava pool right here?";"1"
"156";"cr1-115.10-transcript-corpus.csv";"4031";"TRAVIS";"Oh, Pike.";"1"
